x,y,obs
69,288,6.43
67,296,5.88
70,299,21.09
69,305,9.41
69,306,16.36
68,312,32.0
68,315,1.2
67,318,33.26
68,317,17.77
69,329,12.19
69,347,10.67
71,354,15.24
71,354,16.26
71,361,14.94
69,382,27.07
68,386,18.23
72,102,5.49
72,162,3.66
72,172,18.29
72,172,12.19
70,175,12.19
68,181,26.21
69,219,37.37
69,301,2.43
69,301,1.47
70,303,13.65
70,304,5.34
68,309,5.46
69,347,11.58
71,354,9.14
69,352,15.85
68,361,12.19
70,380,5.49
69,379,12.19
69,387,21.34
69,386,7.62
72,96,3.66
72,102,3.96
72,131,3.66
71,175,9.14
71,173,17.25
72,215,34.21
72,215,24.38
73,235,10.32
69,274,65.53
73,300,35.73
70,305,27.55
73,314,12.19
72,334,7.62
71,345,1.83
72,353,1.52
73,360,15.24
71,364,1.22
70,372,30.48
69,378,15.24
72,99,6.71
72,131,6.1
71,180,10.67
71,191,2.52
70,192,1.52
73,205,12.19
70,216,18.4
72,214,6.1
70,234,9.14
70,234,8.43
73,235,6.1
71,290,5.67
71,290,10.96
70,292,28.08
70,306,4.87
73,304,2.53
71,317,2.1
74,333,3.05
71,374,9.14
72,379,28.04
72,385,15.24
70,383,9.69
75,164,0.0
72,162,7.62
72,178,1.89
72,206,3.05
75,237,16.15
71,283,10.94
71,290,4.02
71,290,17.71
71,290,21.11
73,305,5.99
71,345,1.83
71,348,7.62
72,360,3.05
71,374,12.19
72,384,6.1
72,96,1.83
76,164,0.0
72,199,9.14
75,299,22.85
73,344,1.52
72,369,6.98
72,384,9.14
74,103,5.49
77,175,38.69
73,178,24.38
74,181,10.67
75,231,5.53
73,296,37.7
77,298,4.47
75,300,9.49
74,302,6.86
76,316,21.34
75,325,0.91
73,338,7.62
73,353,9.14
73,360,5.79
74,379,21.12
74,378,13.72
75,159,12.19
75,181,22.86
75,188,11.84
76,195,22.86
75,299,24.21
75,300,9.98
76,296,40.87
74,302,2.4
76,318,18.29
74,327,2.01
74,359,12.16
76,376,24.26
76,159,21.34
76,185,24.38
75,193,51.82
75,196,37.49
79,204,3.96
76,281,21.58
76,281,15.97
76,281,23.0
75,284,10.44
77,298,6.67
76,299,19.51
79,320,19.81
78,323,6.1
77,341,17.68
77,342,30.11
75,375,12.19
77,99,1.83
79,108,0.3
76,159,15.24
79,185,10.67
76,190,50.9
76,193,64.62
80,188,26.82
76,194,56.91
80,279,10.12
76,322,42.67
78,344,13.72
79,366,30.48
79,382,7.68
79,382,7.62
77,100,1.22
81,135,5.79
78,160,15.85
80,162,6.58
80,190,63.09
79,205,12.19
80,279,9.66
81,281,19.81
79,293,19.39
77,295,6.92
77,295,0.38
77,298,10.06
77,309,7.01
79,321,1.83
79,379,7.62
80,186,7.62
79,202,6.1
82,273,3.05
79,283,37.78
78,287,76.37
81,293,47.79
78,298,14.92
80,303,24.38
81,366,12.19
80,375,30.48
81,114,6.71
80,162,5.18
82,164,24.38
80,188,10.52
79,224,12.19
80,226,18.29
79,232,28.61
82,234,15.09
79,293,26.82
79,293,5.44
81,318,24.38
79,320,36.58
82,325,28.1
80,346,18.29
79,345,21.03
81,349,7.62
81,369,1.52
84,94,15.24
82,116,2.44
84,186,24.39
84,186,23.35
83,225,39.93
80,226,24.38
81,276,2.16
83,280,6.9
84,283,26.53
80,292,33.83
80,293,30.3
80,293,11.38
80,293,3.83
81,293,45.72
80,303,16.28
83,318,3.66
81,349,3.58
81,349,12.99
84,153,7.92
81,162,0.0
84,165,30.48
82,171,2.59
85,278,45.47
85,283,28.77
81,291,39.19
81,292,24.57
81,292,10.14
85,304,14.34
85,345,2.35
83,367,12.19
84,365,6.1
86,91,9.14
85,111,6.4
83,166,17.98
85,220,10.67
86,227,9.14
86,269,10.32
86,266,27.77
82,279,38.87
84,281,59.53
84,278,18.2
86,285,17.02
86,291,2.32
83,318,1.67
85,321,21.34
86,338,20.63
86,340,4.79
86,340,9.14
86,347,5.49
86,348,14.33
87,103,13.72
87,103,13.11
87,104,9.14
87,114,2.13
85,154,0.0
87,160,1.52
83,166,22.56
87,278,71.44
84,279,13.94
86,283,11.38
87,288,33.45
86,286,27.1
87,339,5.88
87,349,5.52
87,349,16.76
88,95,10.67
85,104,0.43
84,108,2.13
84,153,12.19
87,164,5.15
87,164,5.67
85,166,42.67
84,276,30.48
84,281,57.91
88,288,26.2
88,90,7.62
