,i_index,j_index,obs,PF
4988,243,-271,16.76,45.507957024244526
4989,242,-271,14.63,41.274971961132884
4990,246,-272,15.85,29.538794047470653
4991,243,-280,6.1,0.04416064586413782
4992,246,-283,6.71,16.738771979717562
4993,242,-286,20.42,15.527468418896929
4994,242,-295,9.14,0.68887765429098
4995,246,-296,6.4,13.505291409042796
4996,246,-302,70.1,68.30888118344133
4997,246,-317,2.54,0.8483943311007306
4998,242,-324,15.87,13.735749080461037
4999,245,-327,11.84,7.691637194353551
5000,242,-327,3.34,9.65354771076056
5001,245,-329,6.25,10.18291216576058
5002,242,-331,13.05,0.6479094522067887
5003,246,-335,0.67,0.2332213580035693
5004,243,-338,9.86,13.217348856778692
5005,245,-338,18.35,22.728338117478486
5006,242,-359,20.79,42.83054802452088
5007,242,-372,7.62,0.10986111200724481
5008,245,-38,6.71,17.802017146116533
5009,245,-44,6.1,29.244655169040904
5010,244,-71,13.72,18.569014326790782
5011,244,-71,21.34,18.569014326790782
5012,243,-72,24.38,38.84507644908439
5013,247,-77,12.19,86.40295760906179
5014,243,-85,18.29,62.24002601918038
5015,243,-153,7.62,66.8942199509117
5016,243,-154,13.72,53.775900443342756
5017,247,-164,2.44,0.08720331011346559
5018,247,-225,9.14,30.731952277607796
5019,244,-225,22.56,52.32712473462095
5020,246,-245,6.1,19.157964021239025
5021,246,-243,21.34,79.9070838950499
5022,245,-244,32.37,71.64260794650461
5023,246,-262,6.1,0.21034570474231712
5024,244,-274,10.36,18.44905784410154
5025,246,-272,15.24,29.538794047470653
5026,243,-275,8.53,5.26515647082127
5027,247,-274,12.19,0.5369514222896974
5028,245,-281,7.01,15.615386761091376
5029,246,-287,8.84,0.04043816957174631
5030,243,-291,4.57,21.56667420477693
5031,246,-291,10.67,0.01994417102006492
5032,246,-296,6.71,13.505291409042796
5033,246,-294,11.58,0.14435106532839986
5034,245,-299,22.25,8.526786439308122
5035,245,-297,3.05,0.23491406242581434
5036,245,-299,24.38,8.526786439308122
5037,247,-311,5.18,0.6727996247236335
5038,247,-312,2.73,5.074824458173721
5039,247,-312,2.12,5.074824458173721
5040,243,-309,6.71,14.143167814088772
5041,244,-312,17.68,14.520675646914007
5042,245,-315,4.18,0.1996430947289136
5043,245,-316,14.67,0.8051539769987931
5044,245,-321,11.04,0.5418247930033973
5045,243,-324,24.02,20.76334007020129
5046,247,-328,8.46,18.690664074502294
5047,247,-328,8.89,18.690664074502294
5048,246,-330,3.46,9.878191162791813
5049,245,-330,4.5,6.6949655999979045
5050,244,-339,25.54,13.155480341564916
5051,243,-341,15.29,13.686582395877842
5052,246,-354,20.92,36.355274279857575
5053,246,-357,35.3,32.355811554215904
5054,243,-383,6.1,0.28622589760293327
5055,246,-33,6.1,52.125492301445455
5056,246,-71,3.66,0.00016374960200262977
5057,244,-107,0.61,36.18336022336672
5058,244,-144,22.01,46.773539773526586
5059,245,-145,13.72,35.544034128423455
5060,246,-145,18.29,80.91324308041216
5061,246,-163,24.38,20.977259620538632
5062,244,-238,10.35,29.602020930400304
5063,247,-247,12.34,0.037354660690883015
5064,247,-262,7.62,0.2314731559704066
5065,246,-262,6.1,0.21034570474231712
5066,246,-262,6.4,0.21034570474231712
5067,247,-274,11.89,0.5369514222896974
5068,245,-271,23.77,22.655381181901028
5069,245,-275,1.52,12.837697309746751
5070,248,-276,10.36,0.6385367261170574
5071,246,-283,3.05,16.738771979717562
5072,246,-287,11.58,0.04043816957174631
5073,247,-284,14.02,0.6094475101089535
5074,244,-290,22.86,40.182846437152676
5075,246,-294,9.75,0.14435106532839986
5076,246,-295,28.04,6.171926758079577
5077,246,-295,24.99,6.171926758079577
5078,248,-301,21.34,0.7561400702562681
5079,248,-301,21.34,0.7561400702562681
5080,246,-299,16.15,5.721121282156436
5081,244,-299,7.01,0.8102784646059445
5082,247,-300,9.14,0.7298617796767172
5083,247,-309,7.32,34.56996353293297
5084,247,-311,5.05,0.6727996247236335
5085,246,-312,11.28,18.386931031174154
5086,246,-310,19.2,39.13452509005662
5087,247,-325,14.94,17.5435899857003
5088,247,-328,8.07,18.690664074502294
5089,246,-327,10.47,13.705312491907764
5090,247,-328,8.71,18.690664074502294
5091,248,-336,19.69,6.05663696950842
5092,244,-344,8.23,31.334233179592818
5093,244,-346,10.92,14.606278356976693
5094,247,-354,15.43,31.277115553019996
5095,245,-74,0.3,0.0
5096,245,-77,15.24,35.52311988447226
5097,248,-78,2.44,30.126158742322144
5098,249,-101,3.66,0.0
5099,247,-155,45.72,90.43913103183631
5100,245,-181,3.05,74.93748044858422
5101,249,-242,15.24,29.319069098116284
5102,246,-259,6.1,68.1106576270529
5103,247,-262,14.53,0.2314731559704066
5104,249,-268,7.32,15.244219893140398
5105,245,-276,3.35,0.46966910147158
5106,245,-280,10.67,13.550489125033264
5107,246,-283,5.18,16.738771979717562
5108,246,-283,4.88,16.738771979717562
5109,246,-282,18.9,29.68743962200929
5110,246,-287,6.4,0.04043816957174631
5111,246,-287,12.8,0.04043816957174631
5112,246,-291,11.28,0.01994417102006492
5113,249,-289,4.27,0.42251881007921493
5114,246,-295,18.29,6.171926758079577
5115,248,-301,19.81,0.7561400702562681
5116,248,-301,18.29,0.7561400702562681
5117,249,-307,25.91,44.95541423198764
5118,249,-311,4.19,21.097086456630805
5119,247,-310,1.22,15.430274002817693
5120,248,-320,4.34,0.6302875429516431
5121,245,-326,2.99,13.106704797993583
5122,247,-327,19.43,18.894572140820802
5123,247,-336,15.42,0.6258120187311542
5124,247,-336,10.97,0.6258120187311542
5125,247,-367,2.28,54.12782178277667
5126,246,-100,2.44,53.860400950414515
5127,249,-157,1.83,0.035992787164495145
5128,249,-188,27.74,18.085296509463543
5129,250,-236,9.14,0.017662502918371216
5130,246,-236,6.4,136.56332459356094
5131,247,-243,26.89,54.9081519060701
5132,250,-245,19.2,0.12237651709011226
5133,250,-245,18.07,0.12237651709011226
5134,250,-261,18.29,0.581818489885018
5135,250,-260,6.1,0.029220333271964095
5136,250,-263,3.66,0.048616193695719984
5137,246,-268,1.83,17.033626802743377
5138,246,-273,5.79,17.894722352235867
5139,246,-276,2.74,0.6526166749758379
5140,246,-278,19.81,9.713438559036671
5141,247,-281,9.45,0.9046241734474278
5142,250,-287,18.9,19.132142212924936
5143,250,-288,15.54,22.38488183847035
5144,246,-294,11.89,0.14435106532839986
5145,246,-296,8.53,13.505291409042796
5146,246,-296,6.71,13.505291409042796
5147,249,-311,3.05,21.097086456630805
5148,248,-309,15.85,53.92113877900019
5149,249,-313,7.33,0.438705204691272
5150,250,-310,6.63,32.960773825178805
5151,250,-315,9.82,0.5514796040192367
5152,247,-320,8.0,0.5536501629840987
5153,250,-319,5.61,0.2623163410587521
5154,247,-329,14.05,13.022278944080506
5155,249,-327,18.25,38.32010818871349
5156,250,-346,19.27,33.00745672844356
5157,246,-359,9.06,30.0283104028331
5158,246,-360,3.07,21.5983900229604
5159,247,-367,2.8,54.12782178277667
5160,250,-371,13.11,0.0
5161,246,-380,12.19,0.48342498485263086
5162,248,-66,22.86,53.93524306283805
5163,250,-72,16.15,74.5458231315899
5164,248,-78,3.66,30.126158742322144
5165,249,-186,4.57,72.44026251591872
5166,251,-189,6.1,42.586871617194454
5167,247,-217,15.52,0.08442326197377023
5168,250,-236,14.12,0.017662502918371216
5169,250,-234,23.94,0.017532759411125323
5170,250,-241,2.44,17.728143397095636
5171,249,-256,3.05,79.01632092162419
5172,250,-255,10.67,79.76785623556724
5173,251,-264,12.19,19.397341200519207
5174,251,-273,0.61,5.578695507921398
5175,248,-275,3.96,0.6952556844327121
5176,247,-283,3.35,0.32556731721872245
5177,251,-290,12.19,30.915821684682875
5178,247,-294,3.96,0.1318220491079739
5179,247,-295,12.5,0.4714087473984493
5180,247,-300,14.63,0.7298617796767172
5181,247,-300,12.8,0.7298617796767172
5182,249,-300,7.62,0.7501842376980572
5183,248,-309,13.72,53.92113877900019
5184,249,-319,12.59,0.6922489604557348
5185,248,-321,13.72,0.6592964652138089
5186,248,-319,2.29,0.30760378150560264
5187,247,-323,17.44,21.922322245806825
5188,248,-328,11.76,16.989136883731067
5189,247,-329,14.36,13.022278944080506
5190,250,-327,12.85,44.584614139571876
5191,250,-328,6.86,14.855413562830597
5192,250,-371,12.19,0.0
5193,251,-12,0.3,0.381146809919897
5194,250,-62,1.83,13.518711109215355
5195,250,-64,18.29,0.12834405592688067
5196,250,-73,1.83,27.28807285188829
5197,250,-73,1.83,27.28807285188829
5198,248,-99,0.91,23.33143360656336
5199,249,-186,16.76,72.44026251591872
5200,249,-186,21.34,72.44026251591872
5201,249,-186,16.95,72.44026251591872
5202,252,-238,28.96,33.137079937937486
5203,252,-243,21.1,0.006355684830608656
5204,249,-246,11.09,0.12143569153911067
5205,249,-264,1.52,0.5822104689979063
5206,251,-267,12.19,29.359270114534542
5207,251,-267,12.19,29.359270114534542
5208,248,-271,4.57,0.05203135002026837
5209,252,-275,13.11,0.0035651905818367352
5210,251,-279,9.14,0.3117862587571038
5211,251,-284,7.01,0.13129200494516666
5212,251,-284,13.08,0.13129200494516666
5213,250,-287,18.9,19.132142212924936
5214,252,-291,13.72,37.254946233979865
5215,252,-294,13.72,30.308506639986184
5216,252,-294,10.67,30.308506639986184
5217,251,-306,9.75,51.13640195897778
5218,251,-313,18.29,33.78267909561244
5219,250,-310,6.32,32.960773825178805
5220,251,-313,17.04,33.78267909561244
5221,249,-319,10.19,0.6922489604557348
5222,252,-319,11.82,10.229712791339114
5223,249,-328,10.49,19.875943549587795
5224,251,-334,18.14,0.7648915478170671
5225,251,-334,19.72,0.7648915478170671
5226,252,-332,5.97,0.7161404709867238
5227,248,-336,16.93,6.05663696950842
5228,249,-335,8.73,0.6858480497595794
5229,252,-332,6.45,0.7161404709867238
5230,251,-345,15.36,41.89690391787661
5231,248,-368,2.74,31.781379382583776
5232,252,-369,1.83,8.677730974590132
5233,252,-369,2.44,8.677730974590132
5234,248,-374,13.41,31.417996917376936
5235,253,-22,5.49,28.819697977662514
5236,250,-65,4.27,12.578432157096476
5237,253,-88,39.01,52.70422703169726
5238,249,-86,3.05,32.27984562307347
5239,252,-99,5.49,13.138182226489556
5240,253,-180,7.62,10.166993807391375
5241,251,-186,10.97,41.09308682801348
5242,249,-213,7.32,76.27882506795103
5243,249,-218,7.32,45.200774240088585
5244,249,-241,30.48,53.821687316947454
5245,251,-241,1.83,13.427291196079427
5246,253,-248,14.33,0.042655046287611256
5247,250,-245,17.36,0.12237651709011226
5248,249,-256,2.44,79.01632092162419
5249,250,-260,7.62,0.029220333271964095
5250,249,-267,23.77,6.90261541102102
5251,251,-267,12.19,29.359270114534542
5252,251,-284,11.28,0.13129200494516666
5253,250,-288,17.37,22.38488183847035
5254,251,-290,14.94,30.915821684682875
5255,252,-294,6.71,30.308506639986184
5256,253,-301,6.4,0.64347839473945
5257,251,-301,7.01,6.60177424969036
5258,253,-302,18.9,0.7784707990507261
5259,251,-307,3.35,16.92131847977886
5260,250,-320,8.09,0.4511132926589385
5261,251,-318,3.53,0.26431562703346917
5262,251,-319,6.6,0.7174423378702584
5263,252,-321,22.65,14.351585989651058
5264,249,-328,10.35,19.875943549587795
5265,250,-327,11.24,44.584614139571876
5266,250,-335,11.61,13.315192888910774
5267,250,-346,19.85,33.00745672844356
5268,249,-371,4.57,0.0
5269,249,-371,4.57,0.0
5270,253,-375,0.91,0.0
5271,253,-34,2.02,12.920989767066326
5272,250,-64,21.64,0.12834405592688067
5273,250,-84,30.48,104.68445697827904
5274,250,-85,0.91,66.15281359872287
5275,254,-96,2.44,19.164582075269273
5276,250,-157,2.86,0.05094386131124436
5277,250,-170,24.38,58.01518534527654
5278,254,-178,22.86,53.89347747030526
5279,252,-179,12.19,14.850319507195474
5280,250,-189,12.19,37.13416793829901
5281,250,-236,18.45,0.017662502918371216
5282,252,-234,9.14,68.92438306901367
5283,254,-244,24.24,56.20256798252344
5284,254,-241,13.72,0.044590720908471666
5285,252,-248,4.15,0.03132616446386929
5286,251,-256,3.05,0.29227646557849235
5287,251,-256,2.13,0.29227646557849235
5288,250,-263,3.05,0.048616193695719984
5289,252,-260,13.72,29.208721523618546
5290,253,-262,5.49,0.03241458409148083
5291,253,-264,7.01,14.91441158864222
5292,253,-275,7.92,18.33146190168509
5293,254,-274,25.51,14.971219341861266
5294,251,-279,8.23,0.3117862587571038
5295,250,-288,16.76,22.38488183847035
5296,252,-292,10.67,29.376348801370394
5297,253,-302,24.08,0.7784707990507261
5298,252,-300,12.5,0.6111591992541939
5299,251,-298,0.3,0.5554244908563278
5300,250,-310,2.74,32.960773825178805
5301,251,-306,12.19,51.13640195897778
5302,254,-318,10.69,0.2299681507471322
5303,252,-328,6.24,17.56892113038396
5304,250,-327,13.78,44.584614139571876
5305,252,-327,14.01,36.919463717089364
5306,252,-331,11.16,0.16955691603879047
5307,254,-336,20.18,29.678993597476307
5308,250,-352,13.69,0.6442455211497429
5309,251,-363,15.55,16.06143738305965
5310,254,-364,4.75,20.022154935650434
5311,254,-364,6.71,20.022154935650434
5312,252,-367,3.96,16.059491087096276
5313,253,-22,3.66,28.819697977662514
5314,252,-54,6.1,0.307423372163228
5315,252,-53,9.14,14.407466138820915
5316,253,-60,3.66,63.08934078923086
5317,255,-71,12.19,34.755066002135564
5318,254,-74,24.08,12.289906153489927
5319,252,-77,18.29,73.76770904144826
5320,254,-85,42.67,139.78023717207876
5321,251,-84,3.66,83.1542551788074
5322,255,-171,32.0,82.5690689384583
5323,254,-206,21.34,21.079023588047246
5324,253,-234,22.56,87.75787365495327
5325,255,-243,17.37,62.08089330576826
5326,254,-253,2.44,19.019675453315937
5327,255,-256,9.14,0.4186356935936707
5328,251,-256,3.05,0.29227646557849235
5329,253,-262,6.1,0.03241458409148083
5330,252,-267,18.9,40.26195565424308
5331,251,-268,4.57,17.655404053153827
5332,255,-270,9.45,30.62815566430936
5333,251,-272,14.33,8.247098350774841
5334,254,-271,5.49,44.921423640477805
5335,254,-273,28.96,0.009219863796589166
5336,251,-279,8.23,0.3117862587571038
