,x_loc,y_loc
556,23.0,137.0
557,23.0,137.0
558,23.0,137.0
559,23.0,138.0
560,23.0,138.0
561,23.0,138.0
562,23.0,138.0
563,23.0,138.0
564,23.0,138.0
565,23.0,138.0
566,23.0,138.0
567,23.0,138.0
568,23.0,138.0
569,23.0,139.0
570,23.0,139.0
571,23.0,139.0
572,23.0,139.0
573,23.0,139.0
574,23.0,139.0
575,23.0,139.0
576,23.0,139.0
577,23.0,139.0
578,23.0,139.0
579,23.0,139.0
580,23.0,140.0
581,23.0,140.0
582,23.0,140.0
583,23.0,140.0
584,23.0,140.0
585,23.0,140.0
586,23.0,140.0
587,23.0,140.0
588,23.0,140.0
589,22.0,140.0
590,22.0,140.0
591,22.0,141.0
592,22.0,141.0
593,22.0,141.0
594,22.0,141.0
595,22.0,141.0
596,22.0,141.0
597,22.0,141.0
598,22.0,141.0
599,22.0,141.0
600,22.0,141.0
601,22.0,141.0
602,22.0,142.0
603,22.0,142.0
604,22.0,142.0
605,22.0,142.0
606,22.0,142.0
607,22.0,142.0
608,22.0,142.0
609,22.0,142.0
610,22.0,142.0
611,22.0,142.0
612,22.0,142.0
613,22.0,143.0
614,22.0,143.0
615,22.0,143.0
616,22.0,143.0
617,22.0,143.0
618,22.0,143.0
619,22.0,143.0
620,22.0,143.0
621,22.0,143.0
622,22.0,143.0
623,22.0,143.0
624,22.0,144.0
625,22.0,144.0
626,22.0,144.0
627,22.0,144.0
628,22.0,144.0
629,22.0,144.0
630,22.0,144.0
631,22.0,144.0
632,22.0,144.0
633,22.0,144.0
634,22.0,144.0
635,22.0,145.0
636,22.0,145.0
637,22.0,145.0
638,22.0,145.0
639,22.0,145.0
640,22.0,145.0
641,22.0,145.0
642,22.0,145.0
643,22.0,145.0
644,21.0,145.0
645,21.0,146.0
646,21.0,146.0
647,21.0,146.0
648,21.0,146.0
649,21.0,146.0
650,21.0,146.0
651,21.0,146.0
652,21.0,146.0
653,21.0,146.0
654,21.0,146.0
655,21.0,146.0
656,21.0,147.0
657,21.0,147.0
658,21.0,147.0
659,21.0,147.0
660,21.0,147.0
661,21.0,147.0
662,21.0,147.0
663,21.0,147.0
664,21.0,147.0
665,21.0,147.0
666,21.0,147.0
667,21.0,148.0
668,21.0,148.0
669,21.0,148.0
670,21.0,148.0
671,21.0,148.0
672,21.0,148.0
673,21.0,148.0
674,21.0,148.0
675,21.0,148.0
676,21.0,148.0
677,21.0,148.0
678,21.0,149.0
679,21.0,149.0
680,21.0,149.0
681,21.0,149.0
682,21.0,149.0
683,21.0,149.0
684,21.0,149.0
685,21.0,149.0
686,21.0,149.0
687,21.0,149.0
688,21.0,149.0
689,21.0,150.0
690,21.0,150.0
691,21.0,150.0
692,21.0,150.0
693,21.0,150.0
694,21.0,150.0
695,21.0,150.0
696,21.0,150.0
697,21.0,150.0
698,20.0,150.0
699,20.0,150.0
700,20.0,151.0
701,20.0,151.0
702,20.0,151.0
703,20.0,151.0
704,20.0,151.0
705,20.0,151.0
706,20.0,151.0
707,20.0,151.0
708,20.0,151.0
709,20.0,151.0
710,20.0,151.0
711,20.0,152.0
712,20.0,152.0
713,20.0,152.0
714,20.0,152.0
715,20.0,152.0
716,20.0,152.0
717,20.0,152.0
718,20.0,152.0
719,20.0,152.0
720,20.0,152.0
721,20.0,152.0
722,20.0,153.0
723,20.0,153.0
724,20.0,153.0
725,20.0,153.0
726,20.0,153.0
727,20.0,153.0
728,20.0,153.0
729,20.0,153.0
730,20.0,153.0
731,20.0,153.0
732,20.0,153.0
733,20.0,154.0
734,20.0,154.0
735,20.0,154.0
736,20.0,154.0
737,20.0,154.0
738,20.0,154.0
739,20.0,154.0
740,20.0,154.0
741,20.0,154.0
742,20.0,154.0
743,20.0,154.0
744,20.0,155.0
745,20.0,155.0
746,20.0,155.0
747,20.0,155.0
748,20.0,155.0
749,19.0,155.0
750,19.0,155.0
751,19.0,155.0
752,19.0,155.0
753,19.0,155.0
754,19.0,155.0
755,19.0,156.0
756,19.0,156.0
757,19.0,156.0
758,19.0,156.0
759,19.0,156.0
760,19.0,156.0
761,19.0,156.0
762,19.0,156.0
763,19.0,156.0
764,19.0,156.0
765,19.0,156.0
766,19.0,157.0
767,19.0,157.0
768,19.0,157.0
769,19.0,157.0
770,19.0,157.0
771,19.0,157.0
772,19.0,157.0
773,19.0,157.0
774,19.0,157.0
775,19.0,157.0
776,19.0,157.0
777,19.0,158.0
778,19.0,158.0
779,19.0,158.0
780,19.0,158.0
781,19.0,158.0
