site_name,id,value,date,lon,lat,x,y
Delaware River at Belvidere NJ,1446500,5370.0,2003-02-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6290.0,2003-02-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5690.0,2003-02-08,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5240.0,2003-02-09,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5060.0,2003-02-10,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4880.0,2003-02-11,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4560.0,2003-02-12,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4190.0,2003-02-13,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4030.0,2003-02-14,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4280.0,2003-02-15,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,3660.0,2003-02-16,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,2920.0,2003-02-17,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,3140.0,2003-02-18,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4130.0,2003-02-19,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4640.0,2003-02-20,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4750.0,2003-02-21,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5180.0,2003-02-22,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8010.0,2003-02-23,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9490.0,2003-02-24,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10100.0,2003-02-25,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9450.0,2003-02-26,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8750.0,2003-02-27,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8430.0,2003-02-28,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8040.0,2003-03-01,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7430.0,2003-03-02,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7940.0,2003-03-03,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7750.0,2003-03-04,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8150.0,2003-03-05,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8140.0,2003-03-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7470.0,2003-03-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7380.0,2003-03-08,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6980.0,2003-03-09,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6820.0,2003-03-10,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6660.0,2003-03-11,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6480.0,2003-03-12,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6340.0,2003-03-13,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6500.0,2003-03-14,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6440.0,2003-03-15,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6820.0,2003-03-16,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9850.0,2003-03-17,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,18600.0,2003-03-18,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,31500.0,2003-03-19,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,34300.0,2003-03-20,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,47800.0,2003-03-21,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,67500.0,2003-03-22,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,64600.0,2003-03-23,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,50700.0,2003-03-24,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,37700.0,2003-03-25,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,31600.0,2003-03-26,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,29300.0,2003-03-27,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,25400.0,2003-03-28,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,22400.0,2003-03-29,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,27000.0,2003-03-30,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,30800.0,2003-03-31,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,26100.0,2003-04-01,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,22900.0,2003-04-02,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,21100.0,2003-04-03,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,19900.0,2003-04-04,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,18900.0,2003-04-05,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,18800.0,2003-04-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17900.0,2003-04-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17400.0,2003-04-08,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,16500.0,2003-04-09,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,15800.0,2003-04-10,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,15400.0,2003-04-11,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,16100.0,2003-04-12,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,16000.0,2003-04-13,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,14600.0,2003-04-14,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,13400.0,2003-04-15,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,12200.0,2003-04-16,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,11300.0,2003-04-17,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10300.0,2003-04-18,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9650.0,2003-04-19,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8560.0,2003-04-20,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7910.0,2003-04-21,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7930.0,2003-04-22,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8100.0,2003-04-23,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7880.0,2003-04-24,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7320.0,2003-04-25,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7010.0,2003-04-26,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6650.0,2003-04-27,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9740.0,2003-04-28,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9350.0,2003-04-29,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8460.0,2003-04-30,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7710.0,2003-05-01,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7260.0,2003-05-02,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8000.0,2003-05-03,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,11400.0,2003-05-04,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10900.0,2003-05-05,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9650.0,2003-05-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8800.0,2003-05-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8160.0,2003-05-08,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7550.0,2003-05-09,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7030.0,2003-05-10,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6260.0,2003-05-11,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5850.0,2003-05-12,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6610.0,2003-05-13,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7230.0,2003-05-14,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6870.0,2003-05-15,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6510.0,2003-05-16,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6080.0,2003-05-17,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5750.0,2003-05-18,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5230.0,2003-05-19,-75.10352234,40.80571422,228,303
